LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
639;90;-76317.0528;169219.9593;90;0.9986063838005066;0.3394853472709656;False;"EntryScorer; BaseModel"
640;90;-76317.0528;185538.053;90;0.9989724159240723;0.33845633268356323;False;"EntryScorer; BaseModel"
641;90;-76317.0528;202148.383;90;0.9989724159240723;0.33845633268356323;False;"EntryScorer; BaseModel"
642;90;-76317.0528;221621.6986;90;0.9967821836471558;0.33501407504081726;False;"EntryScorer; BaseModel"
643;90;-76317.0528;239404.4438;90;0.9967821836471558;0.3354201912879944;False;"EntryScorer; BaseModel"
644;90;-76317.0528;251150.4316;90;0.10496087372303009;0.9912672638893127;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
645;0;-13987.1519;162685.9699;0;0.9637238383293152;0.37210705876350403;False;"EntryScorer; BaseModel"
646;0;-81638.3513;74262.7784;180;0.5653137564659119;0.33926039934158325;False;"EntryScorer; BaseModel"
647;0;-81638.3513;76186.7753;180;0.565337598323822;0.3393746614456177;False;"EntryScorer; BaseModel"
648;0;-81638.3513;78110.7723;180;0.5661599636077881;0.5868879556655884;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
649;0;-81638.3513;72338.7814;180;0.5654175877571106;0.33976203203201294;False;"EntryScorer; BaseModel"
650;0;-81638.3513;70414.7845;180;0.5652053356170654;0.5286524295806885;False;"EntryScorer; BaseModel"
651;0;-81638.3513;59571.5722;180;0.5651867389678955;0.33866485953330994;False;"EntryScorer; BaseModel"
652;0;-81638.3513;61495.5691;180;0.5661599636077881;0.3435634672641754;False;"EntryScorer; BaseModel"
653;0;-81638.3513;63419.5661;180;0.5659357905387878;0.5138742327690125;False;"EntryScorer; BaseModel"
654;0;-81638.3513;57647.5752;180;0.5660258531570435;0.34298548102378845;False;"EntryScorer; BaseModel"
655;0;-81638.3513;55723.5783;180;0.5656118988990784;0.5156943202018738;False;"EntryScorer; BaseModel"
656;0;-81638.3513;44777.5905;180;0.5661599636077881;0.3435634672641754;False;"EntryScorer; BaseModel"
657;0;-81638.3513;46701.5874;180;0.56504887342453;0.3380395174026489;False;"EntryScorer; BaseModel"
658;0;-81638.3513;48625.5844;180;0.5650249719619751;0.4586213231086731;False;"EntryScorer; BaseModel"
659;0;-81638.3513;42853.5935;180;0.565958559513092;0.3426038324832916;False;"EntryScorer; BaseModel"
660;0;-81638.3513;40929.5966;180;0.566028892993927;0.34300321340560913;False;"EntryScorer; BaseModel"
661;0;-81638.3513;39005.5996;180;0.566028892993927;0.6695689558982849;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
662;90;-28217.129;161399.8595;270;0.9999998807907104;0.584269642829895;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
663;90;-28217.129;169219.9593;90;0.9999920129776001;0.376697301864624;False;"EntryScorer; BaseModel"
664;90;-28217.129;174669.9593;270;1.0;0.37665462493896484;False;"EntryScorer; BaseModel"
665;90;-28217.129;185538.053;90;0.9999972581863403;0.37665608525276184;False;"EntryScorer; BaseModel"
666;90;-28217.129;190988.053;270;1.0;0.37665480375289917;False;"EntryScorer; BaseModel"
667;90;-28217.129;202148.383;90;0.999997615814209;0.37665513157844543;False;"EntryScorer; BaseModel"
668;90;-28217.129;207598.383;270;0.9999617338180542;0.335168719291687;False;"EntryScorer; BaseModel"
669;90;-28217.129;221621.6986;90;0.9999020099639893;0.33518457412719727;False;"EntryScorer; BaseModel"
670;90;-28217.129;227071.6986;270;1.0;0.3767409026622772;False;"EntryScorer; BaseModel"
671;90;-28217.129;239404.4438;90;0.9999977350234985;0.3766554594039917;False;"EntryScorer; BaseModel"
672;90;-28217.129;244854.4438;270;0.9992467164993286;0.9556519985198975;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
673;90;-28217.129;251150.4316;90;0.6994481086730957;0.9914581179618835;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
674;90;-78952.3559;38519.6042;270;0.9999994039535522;0.39684221148490906;False;"EntryScorer; BaseModel"
675;90;-78952.3559;49387.5829;90;0.999929666519165;0.4220111668109894;False;"EntryScorer; BaseModel"
676;90;-78952.3559;54837.5829;270;0.9999947547912598;0.333363801240921;False;"EntryScorer; BaseModel"
677;90;-78952.3559;64181.5646;90;0.9998927116394043;0.39848384261131287;False;"EntryScorer; BaseModel"
678;90;-78952.3559;69528.7891;270;0.9999946355819702;0.31211140751838684;False;"EntryScorer; BaseModel"
679;90;-78952.3559;78872.7708;90;0.9998962879180908;0.3453773856163025;False;"EntryScorer; BaseModel"
